REGISTER WIDTH,32,,,,,,
,,,,,,,
,,5:00,dac_code_i_35,,,,
Register Address,Register Name:,Type,Default value,,,,
0x38,DAC_CODE_CODE_8_REG,rw,0x00000020,,,,
,,5:00,dac_code_i_17,,,,
,,5:00,dac_code_q_17,,,,
,,5:00,dac_code_q_16,,,,
,,5:00,dac_code_i_16,,,,
Register Address,Register Name:,Type,Default value,,,,
0x39,DAC_CODE_CODE_9_REG,rw,0x00000020,,,,
,,5:00,dac_code_q_19,,,,
,,5:00,dac_code_i_18,,,,
,,5:00,dac_code_q_18,,,,
,,5:00,dac_code_i_19,,,,
Register Address,Register Name:,Type,Default value,,,,
0x51,DIGITAL_DOC_SPI_1_REG,rw,0x00000A85,,,,
,,7:04,pole_2nd,,,,
,,3:00,pole_1st,,,,
,,11:08,pole_3rd,,,,
Register Address,Register Name:,Type,Default value,,,,
0x06,TX_TX_EN_GN_REG,rw,0x000FFFF0,,,,
,,4,TXTSERSW,,,,
,,1,TX_EN_UPCONV_BIAS,,,,
,,2,TX_EN_DRVR,,,,
,,0,TX_EN_FILTER,,,,
,,19:05,TX_DRVR_GN_CTRL_TEST,,,,
,,3,TXTSTSHNSW,,,,
Register Address,Register Name:,Type,Default value,,,,
0x48,DAC_CODE_CODE_24_REG,rw,0x00000020,,,,
,,5:00,dac_code_i_48,,,,
,,5:00,dac_code_q_48,,,,
Register Address,Register Name:,Type,Default value,,,,
0x0B,PLL_PLL_TRIM_REG,rw,0x00069231,,,,
,,17,PLL_WIDE,,,,
,,3:00,PLL_PFDDEL,,,,
,,6:04,PLL_CP_SEL,,,,
,,16,PLL_SPARES_08,,,,
,,12:10,PLL_LPF_CAP,,,,
,,21:18,PLL_VCO_BIAS_TRIM,,,,
,,9:07,PLL_INT_CAP,,,,
,,15:13,PLL_Rprop,,,,
Register Address,Register Name:,Type,Default value,,,,
0x52,DIGITAL_DOC_SPI_2_REG,rw,0x00000000,,,,
,,6,doc_dac_code_lookup_use,,,,
,,2:00,start_iter_num,,,,
,,5,auto_cal_start,,,,
,,4,doc_bypass,,,,
,,3,sar_en,,,,
,,7,dac_clk_inverse,,,,
Register Address,Register Name:,Type,Default value,,,,
0x45,DAC_CODE_CODE_21_REG,rw,0x00000020,,,,
,,5:00,dac_code_i_43,,,,
,,5:00,dac_code_i_42,,,,
,,5:00,dac_code_q_43,,,,
,,5:00,dac_code_q_42,,,,
Register Address,Register Name:,Type,Default value,,,,
0x16,XO_BG_DCXO_CTRL_REG,rw,0x00000800,,,,
,,12:00,DCXO_CAPCODE,,,,
Register Address,Register Name:,Type,Default value,,,,
0x0E,PLL_PLL_VCO_TUNE1_REG,rw,0x00000008,,,,
,,15:14,PLL_i2c_pllvco_var_start_val,,,,
,,13:06,PLL_i2c_pllvco_mom_start_val,,,,
,,0,PLL_MOM_RESETN,,,,
,,5:03,PLL_i2c_pllvco_mom_short_timer,,,,
,,2,PLL_i2c_pllvco_mom_freeze,,,,
,,1,PLL_i2c_pllvco_mode,,,,
Register Address,Register Name:,Type,Default value,,,,
0x04,RX_RX_LOGIC_REG,rw,0x00F00000,,,,
,,21,DOC_CODEQ_EN_DIG,,,,
,,20,DOC_CODEI_EN_DIG,,,,
,,23,AUTO_CAL_FINISH,,,,
,,6:00,DOC_CODEI_DIG,,,,
,,19:14,VC_TRIM_DIG,,,,
,,22,EN_GMC_TUN_DIG,,,,
,,13:07,DOC_CODEQ_DIG,,,,
Register Address,Register Name:,Type,Default value,,,,
0x3F,DAC_CODE_CODE_15_REG,rw,0x00000020,,,,
,,5:00,dac_code_q_31,,,,
,,5:00,dac_code_i_30,,,,
,,5:00,dac_code_i_31,,,,
,,5:00,dac_code_q_30,,,,
Register Address,Register Name:,Type,Default value,,,,
0x0A,PLL_PLL_EN_REG,rw,0x00000000,,,,
,,0,PLL_EN_BIAS,,,,
,,9,PLL_EN_PFD,,,,
,,3,PLL_EN_LDO_VCO,,,,
,,18:17,PLL_SPARES_07,,,,
,,2,PLL_EN_LDO_DIG,,,,
,,12,PLL_VCO_EN,,,,
,,10,PLL_EN_OPAMP,,,,
,,13,PLL_VCO_RX_EN,,,,
,,16,PLL_EN_ABcounter,,,,
,,11,PLL_EN_ADC,,,,
,,14,PLL_VCO_TEST_EN,,,,
,,1,PLL_EN_LDO_ANA,,,,
,,8:04,PLL_EN_TST,,,,
,,15,PLL_VCO_TX_EN,,,,
Register Address,Register Name:,Type,Default value,,,,
0x13,AUXADC_AUXADC_RDY_REG,rw,0x00000000,,,,
,,9,AUXADC_DATA_RDY,,,,
,,8:00,AUXADC_D,,,,
Register Address,Register Name:,Type,Default value,,,,
0x35,DAC_CODE_CODE_5_REG,rw,0x00000020,,,,
,,5:00,dac_code_q_10,,,,
,,5:00,dac_code_q_11,,,,
,,5:00,dac_code_i_11,,,,
,,5:00,dac_code_i_10,,,,
Register Address,Register Name:,Type,Default value,,,,
0x56,DIGITAL_SPI_TEST_GAIN_REG,rw,0x00000001,,,,
,,8:06,test_gain_adc,,,,
,,20,test_gain_en,,,,
,,16:13,test_gain_bblna,,,,
,,5:00,test_gain_dig,,,,
,,12:09,test_gain_bbfilt,,,,
,,19:17,test_gain_lna,,,,
Register Address,Register Name:,Type,Default value,,,,
0x3A,DAC_CODE_CODE_10_REG,rw,0x00000020,,,,
,,5:00,dac_code_q_21,,,,
,,5:00,dac_code_i_21,,,,
,,5:00,dac_code_i_20,,,,
,,5:00,dac_code_q_20,,,,
Register Address,Register Name:,Type,Default value,,,,
0x50,DIGITAL_DOC_SPI_0_REG,rw,0x00010200,,,,
,,15:00,doc_delay,,,,
,,18:16,spi_mea_dc_period,,,,
Register Address,Register Name:,Type,Default value,,,,
0x42,DAC_CODE_CODE_18_REG,rw,0x00000020,,,,
,,5:00,dac_code_i_37,,,,
,,5:00,dac_code_q_36,,,,
,,5:00,dac_code_q_37,,,,
,,5:00,dac_code_i_36,,,,
Register Address,Register Name:,Type,Default value,,,,
0x59,DIGITAL_DOC_POLE_TIME_3_REG,rw,0x00000200,,,,
,,11:00,pole_3_time,,,,
Register Address,Register Name:,Type,Default value,,,,
0x00,SYSTEM_SYSTEM_CTRL_REG,rw,0x00000001,,,,
,,2,spi_digall_reset,,,,
,,1,dig_clk_en,,,,
,,0,dig_act_en,,,,
,,3,spi_digfilt_reset,,,,
Register Address,Register Name:,Type,Default value,,,,
0x03,RX_RX_BW_PD_REG,rw,0x00000013,,,,
,,3:00,CTRL_VCM_IN_DIG,,,,
,,5,RX_RFLNA1_BIAS_INC,,,,
,,4,LP_DIG,,,,
,,21:17,MIX_IP2_DAC2_Q,,,,
Register Address,Register Name:,Type,Default value,,,,
0x47,DAC_CODE_CODE_23_REG,rw,0x00000020,,,,
,,5:00,dac_code_i_46,,,,
,,5:00,dac_code_q_46,,,,
,,5:00,dac_code_i_47,,,,
,,5:00,dac_code_q_47,,,,
Register Address,Register Name:,Type,Default value,,,,
0x01,RX_RXEN_GAIN_REG,rw,0x00000000,,,,
,,4,EN_BBLNA_DIG,,,,
,,3,EN_VC_DIG,,,,
,,5,EN_DCDAC_DIG,,,,
,,6,EN_ADC_DIG,,,,
,,1,EN_RFAMP2_DIG,,,,
,,0,EN_RFLNA_DIG,,,,
,,2,EN_VCM_MIX_DIG,,,,
Register Address,Register Name:,Type,Default value,,,,
0x54,DIGITAL_IR_GAIN_MS_REG,rw,0x00000000,,,,
,,13:00,ir_gain_ms,,,,
Register Address,Register Name:,Type,Default value,,,,
0x37,DAC_CODE_CODE_7_REG,rw,0x00000020,,,,
,,5:00,dac_code_q_14,,,,
,,5:00,dac_code_i_14,,,,
,,5:00,dac_code_i_15,,,,
,,5:00,dac_code_q_15,,,,
Register Address,Register Name:,Type,Default value,,,,
0x5C,DIGITAL_DOC_DAC_CODE_WR_REG,rw,0x00000000,,,,
,,18,doc_dac_code_wen,,,,
,,11:00,doc_dac_code_wdata_spi,,,,
,,17:12,doc_dac_code_waddr_spi,,,,
Register Address,Register Name:,Type,Default value,,,,
0x15,DAC_FILT_AUX_TCXO_DAC_REG,rw,0x00080201,,,,
,,19:11,AUX_DAC_CTRL,,,,
,,9:01,TCXO_DAC_CTRL,,,,
,,0,EN_TCXO_DAC,,,,
,,10,EN_AUX_DAC,,,,
Register Address,Register Name:,Type,Default value,,,,
