Datalog report
Mon Feb  3 12:32:03 2025

                      Lot:  RT_data
                   Tester:  smartscale00.anoralabs.com
                  Program:  IBM_NP_Master_Rev004_RT.ttf
                      Rev:  
                   Device:  B6811850
          Device Revision:  
                    Sites:  1
             Package Type:  B6811850
                 Operator:  padmesh
                Test Code:  FT
         Test Temperature:  25C
        Handler or Prober:  handtest (Offline)
         Smartest Version:  7.10.6.0
    Smartest Release Date:  Thu, 04 Aug 2022 08:14:36 +0200
           Executive Name:  TCCT
        Executive Version:  1.9.8
   Executive Release Date:  20200617


Site1 PartID: "P7960037"
Number     Test Name                                                             Low           Measured               High       Site(P/F)
721101     vdd_core                                                            0.080V     <      0.0999V     <       0.120V      Site:1
110040     cont_row_even_col_even_dft_scan_scan_out_pad_o_10                   0.200V     <      0.2734V     <       0.400V      Site:1
110041     cont_row_even_col_even_dft_scan_scan_out_pad_o_14                   0.200V     <      0.2736V     <       0.400V      Site:1
110042     cont_row_even_col_even_io_req_pad_data_27                           0.500V     <      0.7601V     <       0.900V      Site:1
110043     cont_row_even_col_even_dft_1500_selectwr_pad_i                      0.500V     <      0.7602V     <       0.900V      Site:1
110044     cont_row_even_col_even_dft_pmbist_pmbist_mode_pad_i                 0.500V     <      0.7601V     <       0.900V      Site:1
110045     cont_row_even_col_even_dft_scan_scan_in_pad_i_11                    0.500V     <      0.7601V     <       0.900V      Site:1
110046     cont_row_even_col_even_io_req_pad_addr_21                           0.500V     <      0.7600V     <       0.900V      Site:1
110047     cont_row_even_col_even_dft_scan_scan_in_pad_i_0                     0.500V     <      0.7601V     <       0.900V      Site:1
110048     cont_row_even_col_even_dft_scan_ss1_pad_i                           0.500V     <      0.7602V     <       0.900V      Site:1
110049     cont_row_even_col_even_io_ddr_enable_pad_i                          0.500V     <      0.7600V     <       0.900V      Site:1
110050     cont_row_even_col_even_io_rsp_pad_data_3                            0.200V     <      0.2737V     <       0.400V      Site:1
110051     cont_row_even_col_even_int_data_pad_4                               0.200V     <      0.2739V     <       0.400V      Site:1
110052     cont_row_even_col_even_int_data_pad_2                               0.200V     <      0.2720V     <       0.400V      Site:1
110053     cont_row_even_col_even_io_rsp_pad_data_19                           0.200V     <      0.2756V     <       0.400V      Site:1
110054     cont_row_even_col_even_io_rsp_pad_data_23                           0.200V     <      0.2739V     <       0.400V      Site:1
110055     cont_row_even_col_even_dft_pmbist_pmda_tck_pad_i                    0.500V     <      0.7602V     <       0.900V      Site:1
110056     cont_row_even_col_even_global_chip_reset_pad_i                      0.500V     <      0.7603V     <       0.900V      Site:1
110057     cont_row_even_col_even_pll_d_clk_pad_o                              0.200V     <      0.2713V     <       0.400V      Site:1
110058     cont_row_even_col_even_dft_pmbist_pmda_ovfl_pad_o                   0.200V     <      0.2713V     <       0.400V      Site:1
110059     cont_row_even_col_even_dft_scan_scan_out_pad_o_7                    0.200V     <      0.2760V     <       0.400V      Site:1
110060     cont_row_even_col_even_dft_scan_scan_out_pad_o_3                    0.200V     <      0.2739V     <       0.400V      Site:1
110061     cont_row_even_col_even_dft_pmbist_pmda_tdo_pad_o                    0.200V     <      0.2711V     <       0.400V      Site:1
110062     cont_row_even_col_even_io_req_pad_data_14                           0.500V     <      0.7599V     <       0.900V      Site:1
110063     cont_row_even_col_even_dft_scan_scan_in_pad_i_4                     0.500V     <      0.7601V     <       0.900V      Site:1
110064     cont_row_even_col_even_dft_scan_cmle_pad_i                          0.500V     <      0.7603V     <       0.900V      Site:1
110065     cont_row_even_col_even_reserved_in_pad_i_0                          0.500V     <      0.7599V     <       0.900V      Site:1
110066     cont_row_even_col_even_dft_opcg_trigger_pad_i                       0.500V     <      0.7601V     <       0.900V      Site:1
110067     cont_row_even_col_even_dft_scan_scan_out_pad_o_15                   0.200V     <      0.2734V     <       0.400V      Site:1
110068     cont_row_even_col_even_machine_init_done_pad_o                      0.200V     <      0.2749V     <       0.400V      Site:1
110069     cont_row_even_col_even_pll_a_out_pad_ao                             0.500V     <      0.7553V     <       0.900V      Site:1
110070     cont_row_even_col_even_io_req_pad_data_valid                        0.500V     <      0.7605V     <       0.900V      Site:1
110071     cont_row_even_col_even_pllset_pad_i_3                               0.500V     <      0.7602V     <       0.900V      Site:1
110072     cont_row_even_col_even_vsen_test0_pad_o                             0.200V     <      0.2718V     <       0.400V      Site:1
110073     cont_row_even_col_even_drive_pad_i_0                                0.500V     <      0.7601V     <       0.900V      Site:1
111001     cont_row_even_col_odd_io_rsp_pad_rsp_type                           0.200V     <      0.2722V     <       0.400V      Site:1
111002     cont_row_even_col_odd_io_req_pad_data_25                            0.500V     <      0.7600V     <       0.900V      Site:1
111003     cont_row_even_col_odd_io_req_pad_addr_valid                         0.500V     <      0.7604V     <       0.900V      Site:1
111004     cont_row_even_col_odd_io_req_pad_addr_18                            0.500V     <      0.7600V     <       0.900V      Site:1
111005     cont_row_even_col_odd_io_rsp_pad_data_24                            0.200V     <      0.2742V     <       0.400V      Site:1
111006     cont_row_even_col_odd_io_rsp_pad_bus_rd_error                       0.200V     <      0.2715V     <       0.400V      Site:1
111007     cont_row_even_col_odd_io_rsp_pad_data_20                            0.200V     <      0.2739V     <       0.400V      Site:1
111008     cont_row_even_col_odd_dft_scan_scan_out_pad_o_0                     0.200V     <      0.2729V     <       0.400V      Site:1
111009     cont_row_even_col_odd_io_rsp_pad_data_0                             0.200V     <      0.2715V     <       0.400V      Site:1
111010     cont_row_even_col_odd_io_req_pad_data_12                            0.500V     <      0.7601V     <       0.900V      Site:1
111011     cont_row_even_col_odd_io_req_pad_addr_22                            0.500V     <      0.7600V     <       0.900V      Site:1
