Datalog report
Fri Jan 24 11:19:32 2025

                      Lot:  8IQYH47000.10-TT-I
                   Tester:  smartscale00.anoralabs.com
                  Program:  IBM_NP_Master_Rev004_HT.ttf
                      Rev:  
                   Device:  B6811850
          Device Revision:  
                    Sites:  1
             Package Type:  B6811850
                 Operator:  Joe
                Test Code:  FT
         Test Temperature:  75C
        Handler or Prober:  handtest (Offline)
         Smartest Version:  7.10.6.0
    Smartest Release Date:  Thu, 04 Aug 2022 08:14:36 +0200
           Executive Name:  TCCT
        Executive Version:  1.9.8
   Executive Release Date:  20200617


Site1 PartID: "P8203759"
Number     Test Name                                                             Low           Measured               High       Site(P/F)
721101     vdd_core                                                            0.080V     <      0.0997V     <       0.120V      Site:1
110027     cont_row_even_col_even_dft_scan_scan_out_pad_o_8                    0.200V     <      0.2857V     <       0.400V      Site:1
110028     cont_row_even_col_even_io_rsp_pad_data_14                           0.200V     <      0.2866V     <       0.400V      Site:1
110029     cont_row_even_col_even_io_req_pad_data_20                           0.500V     <      0.7584V     <       0.900V      Site:1
110030     cont_row_even_col_even_tap_rstn_pad_i                               0.500V     <      0.7584V     <       0.900V      Site:1
110031     cont_row_even_col_even_dft_scan_scan_out_pad_o_12                   0.200V     <      0.2853V     <       0.400V      Site:1
110032     cont_row_even_col_even_io_req_pad_addr_24                           0.500V     <      0.7588V     <       0.900V      Site:1
110033     cont_row_even_col_even_dft_1500_shiftwr_pad_i                       0.500V     <      0.7587V     <       0.900V      Site:1
110034     cont_row_even_col_even_dft_1500_wrstn_pad_i                         0.500V     <      0.7587V     <       0.900V      Site:1
110035     cont_row_even_col_even_io_req_pad_addr_12                           0.500V     <      0.7586V     <       0.900V      Site:1
110036     cont_row_even_col_even_dft_scan_scan_in_pad_i_12                    0.500V     <      0.7586V     <       0.900V      Site:1
110037     cont_row_even_col_even_dft_scan_scan_in_pad_i_1                     0.500V     <      0.7588V     <       0.900V      Site:1
110038     cont_row_even_col_even_dft_scan_lpg2_pad_i                          0.500V     <      0.7587V     <       0.900V      Site:1
110039     cont_row_even_col_even_io_clk_pad_i                                 0.500V     <      0.7588V     <       0.900V      Site:1
110040     cont_row_even_col_even_dft_scan_scan_out_pad_o_10                   0.200V     <      0.2853V     <       0.400V      Site:1
110041     cont_row_even_col_even_dft_scan_scan_out_pad_o_14                   0.200V     <      0.2858V     <       0.400V      Site:1
110042     cont_row_even_col_even_io_req_pad_data_27                           0.500V     <      0.7586V     <       0.900V      Site:1
110043     cont_row_even_col_even_dft_1500_selectwr_pad_i                      0.500V     <      0.7588V     <       0.900V      Site:1
110044     cont_row_even_col_even_dft_pmbist_pmbist_mode_pad_i                 0.500V     <      0.7587V     <       0.900V      Site:1
110045     cont_row_even_col_even_dft_scan_scan_in_pad_i_11                    0.500V     <      0.7586V     <       0.900V      Site:1
110046     cont_row_even_col_even_io_req_pad_addr_21                           0.500V     <      0.7585V     <       0.900V      Site:1
110047     cont_row_even_col_even_dft_scan_scan_in_pad_i_0                     0.500V     <      0.7587V     <       0.900V      Site:1
110048     cont_row_even_col_even_dft_scan_ss1_pad_i                           0.500V     <      0.7587V     <       0.900V      Site:1
110049     cont_row_even_col_even_io_ddr_enable_pad_i                          0.500V     <      0.7586V     <       0.900V      Site:1
110050     cont_row_even_col_even_io_rsp_pad_data_3                            0.200V     <      0.2856V     <       0.400V      Site:1
110051     cont_row_even_col_even_int_data_pad_4                               0.200V     <      0.2847V     <       0.400V      Site:1
110052     cont_row_even_col_even_int_data_pad_2                               0.200V     <      0.2854V     <       0.400V      Site:1
110053     cont_row_even_col_even_io_rsp_pad_data_19                           0.200V     <      0.2865V     <       0.400V      Site:1
110054     cont_row_even_col_even_io_rsp_pad_data_23                           0.200V     <      0.2861V     <       0.400V      Site:1
110055     cont_row_even_col_even_dft_pmbist_pmda_tck_pad_i                    0.500V     <      0.7588V     <       0.900V      Site:1
110056     cont_row_even_col_even_global_chip_reset_pad_i                      0.500V     <      0.7588V     <       0.900V      Site:1
110057     cont_row_even_col_even_pll_d_clk_pad_o                              0.200V     <      0.2832V     <       0.400V      Site:1
110058     cont_row_even_col_even_dft_pmbist_pmda_ovfl_pad_o                   0.200V     <      0.2844V     <       0.400V      Site:1
110059     cont_row_even_col_even_dft_scan_scan_out_pad_o_7                    0.200V     <      0.2858V     <       0.400V      Site:1
110060     cont_row_even_col_even_dft_scan_scan_out_pad_o_3                    0.200V     <      0.2848V     <       0.400V      Site:1
110061     cont_row_even_col_even_dft_pmbist_pmda_tdo_pad_o                    0.200V     <      0.2842V     <       0.400V      Site:1
110062     cont_row_even_col_even_io_req_pad_data_14                           0.500V     <      0.7584V     <       0.900V      Site:1
110063     cont_row_even_col_even_dft_scan_scan_in_pad_i_4                     0.500V     <      0.7588V     <       0.900V      Site:1
110064     cont_row_even_col_even_dft_scan_cmle_pad_i                          0.500V     <      0.7587V     <       0.900V      Site:1
110065     cont_row_even_col_even_reserved_in_pad_i_0                          0.500V     <      0.7584V     <       0.900V      Site:1
110066     cont_row_even_col_even_dft_opcg_trigger_pad_i                       0.500V     <      0.7587V     <       0.900V      Site:1
110067     cont_row_even_col_even_dft_scan_scan_out_pad_o_15                   0.200V     <      0.2856V     <       0.400V      Site:1
110068     cont_row_even_col_even_machine_init_done_pad_o                      0.200V     <      0.2850V     <       0.400V      Site:1
110069     cont_row_even_col_even_pll_a_out_pad_ao                             0.500V     <      0.7537V     <       0.900V      Site:1
110070     cont_row_even_col_even_io_req_pad_data_valid                        0.500V     <      0.7588V     <       0.900V      Site:1
